* Exported with UsyTrace, available at https://usyless.github.io/trace
* Freq(Hz)	SPL(dB)
2031.873347	66.617660
2061.427625	66.784016
2091.411780	66.942694
2121.832065	67.106960
2152.694823	67.302827
2184.006490	67.501544
2215.773596	67.689897
2248.002765	67.796606
2280.700718	67.955262
2313.874274	68.111782
2347.530351	68.233145
2381.675966	68.356273
2416.318240	68.481192
2451.464399	68.561277
2487.121769	68.603904
2523.297789	68.635654
2560.000000	68.625637
2597.236057	68.584407
2635.013726	68.542577
2673.340883	68.500139
2712.225522	68.457084
2751.675750	68.413403
2791.699796	68.339023
2832.306004	68.259726
2873.502844	68.195596
2915.298905	68.123068
2957.702904	68.023789
3000.723683	67.923066
3044.370214	67.820877
3088.651599	67.723183
3133.577071	67.613564
3179.155999	67.534268
3225.397888	67.454908
3272.312380	67.364358
3319.909260	67.269980
3368.198452	67.174228
3417.190027	67.077084
3466.894200	66.967464
3517.321337	66.857907
3568.481954	66.748326
3620.386720	66.652441
3673.046457	66.542717
3726.472148	66.431397
3780.674934	66.318457
3835.666117	66.230573
3891.457165	66.090813
3948.059713	65.981193
4005.485564	65.892474
4063.746693	65.783133
4122.855250	65.672201
4182.823560	65.559656
4243.664130	65.433290
4305.389646	65.324744
4368.012981	65.214130
4431.547192	65.131420
4496.005531	65.010017
4561.401437	64.886848
4627.748549	64.761888
4695.060701	64.666200
4763.351932	64.576897
4832.636481	64.477241
4902.928797	64.331064
4974.243539	64.221885
5046.595577	64.111118
5120.000000	63.998740
5194.472115	63.899157
5270.027452	63.819776
5346.681766	63.710224
5424.451043	63.630817
5503.351500	63.559474
5583.399591	63.487300
5664.612008	63.414077
5747.005687	63.339788
5830.597810	63.265543
5915.405808	63.239333
6001.447367	63.212742
6088.740429	63.176631
6177.303198	63.161464
6267.154142	63.239439
6358.311998	63.318548
6450.795775	63.398808
6544.624761	63.479178
6639.818520	63.609104
6736.396904	63.707306
6834.380053	63.866011
6933.788400	64.041333
7034.642675	64.219695
7136.963909	64.400651
7240.773439	64.500715
7346.092914	64.659433
7452.944296	64.818084
7561.349867	64.959201
7671.332234	65.099539
7782.914330	65.241918
7896.119426	65.357394
8010.971128	65.299149
8127.493386	65.219799
8245.710500	65.078566
8365.647121	64.854571
8487.328260	64.627319
8610.779292	64.421825
8736.025961	64.202535
8863.094385	63.983347
8992.011061	63.666072
9122.802874	63.303097
9255.497097	63.022624
9390.121402	62.690958
9526.703863	62.311282
9665.272962	62.003167
9805.857594	61.753238
9948.487077	61.564687
10093.191154	61.301767
10240.000000	60.983418
10388.944230	60.846594
10540.054903	60.627556
10693.363532	60.402302
10848.902086	60.178031
11006.703001	59.950498
11166.799182	59.750867
11329.224017	59.592198
11494.011375	59.373038
11661.195620	59.185611
11830.811616	58.948508
12002.894734	58.715528
12177.480858	58.504800
12354.606395	58.337690
12534.308283	58.175864
12716.623996	57.939909
12901.591551	57.700523
13089.249521	57.521468
13279.637040	57.302337
13472.793808	57.143644
13668.760107	56.930922
13867.576801	56.692696
14069.285350	56.486128
14273.927818	56.327464
14481.546879	56.108301
14692.185828	55.900942
14905.888592	55.674540
15122.699734	55.457268
15342.664467	55.352586
15565.828661	55.133438
15792.238852	54.975950
16021.942256	54.854631
16254.986772	54.731548
16491.420999	54.606675
16731.294241	54.508756
16974.656520	54.429389
17221.558584	54.358444
17472.051922	54.306434
17726.188769	54.258875
17984.022122	54.210624
18245.605748	54.161672
18510.994194	54.112007
18780.242805	54.072581
19053.407727	54.072581
19330.545924	54.072581
19611.715189	54.072581
19896.974155	54.072581
20186.382308	54.072581
